Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,437333859,5610.7716280541235,10472472,134.3565049080528,1557106,5960972,76.47624780231124,55938,0.7176561724439726,7973,
United States of America,Americas,78307631,23657.705,475659,143.702,95051,943293,284.98,12936,3.908,2181
India,South-East Asia,42938599,3111.483,71568,5.186,7554,514246,37.264,1624,0.118,223
Brazil,Americas,28787620,13543.328,542069,255.02,19516,649333,305.483,4729,2.225,199
France,Europe,22112589,33998.781,366310,563.213,79794,135471,208.291,1240,1.907,209
The United Kingdom,Europe,18985572,27966.843,210527,310.118,24158,161630,238.09,418,0.616,15
Russian Federation,Europe,16592824,11370.052,797254,546.31,97455,353230,242.047,5414,3.71,784
Germany,Europe,15053624,18100.54,1081677,1300.613,186406,123238,148.182,1336,1.606,301
Turkey,Europe,14148450,16775.678,473760,561.733,59885,94648,112.223,1658,1.966,203
Italy,Europe,12829972,21511.824,275376,461.719,47136,155000,259.886,1488,2.495,233
Spain,Europe,11036085,23316.027,119003,251.419,17771,99883,211.024,674,1.424,78
Argentina,Americas,8904176,19701.346,48552,107.426,3520,126257,279.356,639,1.414,105
Iran (Islamic Republic of),Eastern Mediterranean,7060741,8406.35,77106,91.801,9312,137064,163.185,1565,1.863,226
Netherlands,Europe,6398114,36754.748,245898,1412.591,36529,21570,123.912,63,0.362,16
Colombia,Americas,6064583,11918.708,14631,28.754,1882,138767,272.718,562,1.104,74
Poland,Europe,5694767,15002.756,92087,242.601,14733,111864,294.704,1347,3.549,278
Indonesia,South-East Asia,5630096,2058.358,279194,102.073,40920,149036,54.487,2011,0.735,376
Mexico,Americas,5508629,4272.482,17144,13.297,0,318149,246.756,510,0.396,0
Japan,Western Pacific,5067735,4006.86,460706,364.262,61843,23860,18.865,1588,1.256,227
Ukraine,Europe,4849022,11087.595,65187,149.054,6879,106239,242.922,1010,2.309,110
South Africa,Africa,3674042,6194.779,14344,24.185,785,99412,167.618,608,1.025,183
Philippines,Western Pacific,3663059,3342.784,8884,8.107,1067,56451,51.515,675,0.616,0
Israel,Europe,3644804,42109.488,62266,719.377,8297,10211,117.971,113,1.306,7
Czechia,Europe,3599534,33659.571,61094,571.296,11663,38741,362.271,278,2.6,56
Belgium,Europe,3563841,30929.569,31164,270.464,7,30199,262.089,119,1.033,2
Viet Nam,Western Pacific,3557629,3654.901,667377,685.624,114144,40338,41.441,656,0.674,86
Peru,Americas,3517260,10667.462,19364,58.729,996,210672,638.945,1031,3.127,134
Republic of Korea,Western Pacific,3492686,6812.447,1163514,2269.422,219241,8266,16.123,659,1.285,96
Malaysia,Western Pacific,3468590,10716.771,194632,601.347,25854,32827,101.424,394,1.217,78
Canada,Americas,3292807,8724.481,48854,129.441,9270,36595,96.961,549,1.455,58
Portugal,Europe,3273624,31795.386,67343,654.075,11006,21086,204.8,192,1.865,23
Chile,Americas,3076291,16092.586,180360,943.493,15272,42381,221.702,855,4.473,28
Thailand,South-East Asia,2934544,4204.219,163751,234.6,22197,23021,32.981,291,0.417,45
Australia,Western Pacific,2867023,11243.279,144486,566.614,25206,5212,20.439,247,0.969,41
Switzerland,Europe,2806559,32428.456,82081,948.407,158,12669,146.384,40,0.462,0
Denmark,Europe,2783399,47802.031,145985,2507.143,18561,4649,79.842,274,4.706,37
Romania,Europe,2741945,14185.773,55856,288.978,8461,63578,328.928,739,3.823,164
Austria,Europe,2723686,30599.555,191345,2149.687,25183,14258,160.183,193,2.168,45
Sweden,Europe,2448182,23705.262,16591,160.647,1223,17242,166.951,43,0.416,0
Greece,Europe,2438872,22753.717,102257,954.018,17208,25914,241.767,429,4.002,54
Iraq,Eastern Mediterranean,2303816,5727.681,8887,22.095,1023,24999,62.152,102,0.254,10
Bangladesh,South-East Asia,1945108,1181.077,6973,4.234,732,29053,17.641,58,0.035,8
Serbia,Europe,1913861,27630.179,21674,312.905,2886,15280,220.596,322,4.649,39
Hungary,Europe,1793120,18354.217,23956,245.211,3539,44134,451.752,572,5.855,83
Jordan,Eastern Mediterranean,1638228,16056.126,46950,460.153,6520,13849,135.733,118,1.157,14
Georgia,Europe,1616159,40513.615,40160,1006.724,3840,16231,406.876,250,6.267,32
Pakistan,Eastern Mediterranean,1510221,683.691,7580,3.432,861,30196,13.67,143,0.065,18
Slovakia,Europe,1470892,26949.913,77358,1417.365,12763,18567,340.187,253,4.636,37
Kazakhstan,Europe,1390966,7407.934,2865,15.258,296,18958,100.966,76,0.405,11
Ireland,Europe,1303720,26261.169,23806,479.53,3300,6508,131.092,45,0.906,11
Norway,Europe,1242202,23142.683,74696,1391.614,10438,1598,29.771,1,0.019,0
Morocco,Eastern Mediterranean,1161131,3145.796,1547,4.191,156,15994,43.332,72,0.195,6
Bulgaria,Europe,1093920,15736.501,16760,241.1,2641,35637,512.653,392,5.639,56
Lebanon,Eastern Mediterranean,1070696,15686.831,17444,255.573,1986,10104,148.034,97,1.421,13
Cuba,Americas,1070258,9449.053,3844,33.938,396,8495,75,4,0.035,1
Croatia,Europe,1055943,26020.209,12609,310.707,1149,15101,372.114,196,4.83,32
Tunisia,Eastern Mediterranean,999441,8456.496,8958,75.796,1211,27824,235.425,232,1.963,40
Nepal,South-East Asia,977199,3353.83,838,2.876,123,11941,40.983,11,0.038,3
Belarus,Europe,921263,9749.515,31174,329.907,1527,6493,68.714,101,1.069,13
Lithuania,Europe,913224,32684.13,34104,1220.576,5982,8418,301.279,137,4.903,10
Mongolia,Western Pacific,909379,27739.431,5645,172.193,1222,2098,63.997,9,0.275,2
Slovenia,Europe,895207,42713.09,12579,600.183,2538,7020,334.946,36,1.718,0
Bolivia (Plurinational State of),Americas,893395,7653.503,2283,19.558,65,21438,183.654,38,0.326,6
United Arab Emirates,Eastern Mediterranean,880451,8902.075,4567,46.176,478,2301,23.265,4,0.04,0
Uruguay,Americas,842462,24252.374,23083,664.502,1951,6985,201.081,90,2.591,8
Ecuador,Americas,827760,4691.705,7219,40.917,0,35223,199.642,51,0.289,0
Costa Rica,Americas,806928,15840.387,16484,323.589,1264,8037,157.77,101,1.983,6
Azerbaijan,Europe,786502,7757.061,8698,85.786,832,9438,93.084,158,1.558,21
Guatemala,Americas,777670,4340.75,19367,108.102,679,16977,94.761,183,1.021,6
Panama,Americas,755498,17509.59,4257,98.661,236,8083,187.333,54,1.252,4
Singapore,Western Pacific,748504,12794.192,126211,2157.327,24080,1030,17.606,74,1.265,11
Saudi Arabia,Eastern Mediterranean,745590,2141.646,4353,12.504,563,9001,25.855,14,0.04,3
Latvia,Europe,662644,34735.686,61044,3199.916,9524,5241,274.732,111,5.819,17
Finland,Europe,658559,11918.99,15235,275.732,1116,2381,43.093,2,0.036,1
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,648039,12703.125,9867,193.417,836,5532,108.441,93,1.823,19
